interval_idx,mean,std,count,sharpe,strategy
14,-0.0011269262392848112,0.0035814237742250255,1116,-4.99505240879692,Composite (K=5 + Rev)
15,-0.0008658915445247776,0.0037039261475378246,1116,-3.71108968901402,Composite (K=5 + Rev)
16,-0.0008714265804649613,0.004435386410823778,1116,-3.1188867948037373,Composite (K=5 + Rev)
1,-0.00019313662850975168,0.0073335493109461,1116,-0.4180716319708068,Composite (K=10 + Rev)
2,-0.0011732177911454606,0.005009748568737118,1116,-3.7176027497163053,Composite (K=10 + Rev)
3,-0.0011100251412206976,0.004630338467157733,1116,-3.8055755451096367,Composite (K=10 + Rev)
4,-0.00094933686585096,0.003624995508048553,1116,-4.15731702600524,Composite (K=10 + Rev)
5,-0.0011448659406103718,0.0032183487784762303,1116,-5.6470521472763835,Composite (K=10 + Rev)
6,-0.0012723134889583035,0.0029151325567245184,1116,-6.928450111947424,Composite (K=10 + Rev)
7,-0.0011323410274481107,0.0026375077041501925,1116,-6.815281153254513,Composite (K=10 + Rev)
8,-0.0010611902903490782,0.0027994588496982552,1116,-6.017546431767085,Composite (K=10 + Rev)
9,-0.0010268971494042164,0.003762782315352378,1116,-4.332296027244821,Composite (K=10 + Rev)
10,-0.001049583393385972,0.0031891505362049866,1116,-5.224469539955388,Composite (K=10 + Rev)
11,-0.0010153014463402286,0.003259648160720335,1116,-4.944524685486576,Composite (K=10 + Rev)
12,-0.0011223042145234073,0.003360454877677362,1116,-5.301671270838662,Composite (K=10 + Rev)
13,-0.0009208291095592973,0.00314602236238068,1116,-4.646409738879315,Composite (K=10 + Rev)
14,-0.001136387728121728,0.0035442079388547615,1116,-5.089880797220879,Composite (K=10 + Rev)
15,-0.0008598111861355365,0.003771155617675776,1116,-3.619336039579488,Composite (K=10 + Rev)
16,-0.0008489131157686735,0.004504938385915133,1116,-2.9914011646158922,Composite (K=10 + Rev)
