Interval_Lag_k,γ̄_OC,t_stat_OC,N,γ̄_CC,t_stat_CC
273,0.0003891775570009906,0.1455060180151143,17841,0.0025597937696874105,1.0284524630125986
274,-0.001562370971263182,-0.6605794138312723,17840,-0.00484911750106464,-1.958932146414195
275,0.00243393793479898,0.9871741707651853,17839,0.002402950780745839,0.883175669822254
276,0.002049036455313235,0.8183731097297001,17838,0.0017682154840089315,0.6557220439697854
277,0.0016618910406381283,0.6775965108171378,17837,-0.00018714964340323318,-0.06742083909809023
278,-0.001619063981810301,-0.6298979591044199,17836,-0.0007629623021867335,-0.28603447801528126
279,-3.0109281724026204e-05,-0.012040879110646134,17835,-0.002012540272646107,-0.7355705755545899
280,-0.0003259361438178921,-0.12217461226142137,17834,0.0006954292432588868,0.23801786617123782
281,-0.0015079847725975573,-0.5612600658130924,17833,-0.0008035845251223162,-0.26755500001615046
282,-0.004545183101771995,-1.7279344426628276,17832,-0.008257926128489941,-2.8553554588563657
283,-0.00019465963318895634,-0.07532477851076715,17831,-0.0008529866527951507,-0.2930987453497823
284,-0.0014703201756938687,-0.5726496222893215,17830,-0.000932826139277819,-0.34325556227562604
285,-0.003036858199524852,-1.2539110250442569,17829,-0.004816330139631434,-1.8166085343320584
286,0.0006166072869531038,0.2616349252098753,17828,-0.002758113845747596,-1.1100717156890156
287,0.00318867255626877,1.4017641039850501,17827,0.002285508440570722,0.792343290799775
288,0.0038747235323399235,1.7398459789629928,17826,0.0018876259331574885,0.6893227449640833
289,0.0008866200799930596,0.36646447729553033,17825,-0.002317026245377554,-0.9060913740883604
290,0.0033997744449754735,1.4128455289898827,17824,0.004991808625747722,1.4501814200981646
291,0.0010849497131129246,0.4278036722413938,17823,-0.002665482289132457,-0.9984186323547468
292,0.0031043475325959404,1.2147212934910143,17822,0.0037530175985410652,1.3648868894407098
293,-0.0002977508667850485,-0.11556497925267685,17821,-0.0021134873663321697,-0.7731795173417028
294,-0.00312446131965499,-1.1746712828030887,17820,-0.0037271800629652832,-1.3624046317960619
295,-0.0010950365226537594,-0.4146848163242021,17819,-0.002672874822326152,-0.954601407198151
296,-0.001146200971701184,-0.4466708414671817,17818,-0.001513133092879554,-0.5331351738276289
297,-0.0012281247519946553,-0.45891886887929545,17817,-0.0026045106477393634,-0.9036793446792939
298,0.0006860513919454378,0.26173589520963914,17816,0.0002743603192171021,0.09453475826792944
299,0.000769241296862096,0.31286296652776213,17815,0.0002265937263677242,0.08170667748031508
300,-0.004547302927993059,-1.8355671646224172,17814,-0.0040820774544592115,-1.4280770740987476
301,0.0024905315091086223,1.0698589358890789,17813,0.000681997350165209,0.2743618241620869
302,-0.0019080376296428168,-0.8308635297366643,17812,0.001613023005987064,0.5941485471643448
303,-0.0009211693114998819,-0.3983965641301702,17811,-0.0019729851402530145,-0.8033945242773116
304,0.0032406938253042813,1.4323904588850882,17810,0.002229946724494105,0.9361152797784859
305,0.005460957508117543,2.313629354059168,17809,0.0044850035659007,1.803589368292371
306,-0.0038358190854545535,-1.532914904099438,17808,-0.0022629523899354476,-0.7012979712322003
307,-0.0032072111127042805,-1.3043165846671774,17807,-0.005141577227104919,-1.9594244680913504
308,0.004795293789900133,1.8882876393846393,17806,0.007881120064909158,2.853059603440139
309,-0.0003346883364378905,-0.13434697882313618,17805,-0.0005920499215014565,-0.21979983105817683
310,0.0009949694902391794,0.39605417427413736,17804,-0.00042231907574773983,-0.1579442132015811
311,-0.002468995895052432,-0.9691849690228231,17803,-0.0016732300428207807,-0.6065314920864017
312,-0.002295564458449089,-0.9245882762979851,17802,-0.002956750711122463,-1.1023321845811607
